COUNTRY,Cen_X,Cen_Y,color
Liberia,-1140739.656,-13367.104,#00FFF8
Libya,2003280.146,3144492.935,#00FFFF
Liechtenstein,1063575.608,5966907.735,#00F8FF
Lithuania,2535852.309,7429439.04,#00F2FF
Luxembourg,677672.9702,6406807.173,#00ECFF
Madagascar,5175830.51,-2484621.914,#00E6FF
Madeira,-1890755.441,3861897.777,#00E0FF
Malawi,3819433.798,-1486921.917,#00DAFF
Malaysia,12386358.83,676903.599,#00D4FF
Maldives,8154392.573,359294.559,#00CEFF
Mali,-389762.7855,1973203.513,#00C8FF
Malta,1674586.842,3998919.18,#00C2FF
Marshall Islands,18771426.43,855549.017,#00BCFF
Martinique,-6105669.39,1739943.607,#00B6FF
Mauritania,-1080702.012,2374549.393,#00B0FF
Mauritius,6530793.972,-2267536.463,#00A9FF
Mayotte,5274402.037,-1324137.222,#00A3FF
Mexico,-11433849.07,2776929.598,#009DFF
Micronesia,17744510.56,724423.889,#0097FF
Moldova,3169220.105,5976124.668,#0091FF
Monaco,800293.943,4814858.394,#008BFF
Mongolia,11470924.85,5937463.507,#0085FF
Montenegro,2143278.101,5280671.962,#007FFF
Montserrat,-6534763.371,1995064.027,#0079FF
Morocco,-1154609.54,3447106.202,#0073FF
Mozambique,3898640.784,-2251484.927,#006DFF
Myanmar,10624188.21,2499922.656,#0067FF
Namibia,1913532.219,-2652490.473,#0061FF
Nauru,18582493.17,-58120.955,#005BFF
Nepal,9342264.209,3282485.372,#0054FF
Netherlands,794036.313,6940967.654,#004EFF
New Caledonia,18426528.08,-2486115.895,#0048FF
New Zealand,19105124.88,-5171031.037,#0042FF
Nicaragua,-9492421.241,1924219.406,#003CFF
Niger,1049211.45,1977764.92,#0036FF
Nigeria,945668.875,1573396.911,#0030FF
Niue,-18925988.43,-2360163.244,#002AFF
Norfolk Island,18696397.58,-3380440.152,#0024FF
North Korea,14159710.13,4891534.599,#001EFF
North Macedonia,2415431.306,5101637.819,#0018FF
Northern Mariana Islands,16467071.91,2169264.027,#0012FF
Norway,1596460.115,9913961.29,#000CFF
Oman,6315005.517,1053175.041,#0006FF
Pakistan,7734010.208,3521535.513,#0000FF
Palau,14980118.36,837505.166,#0600FF
Palestinian Territory,3918947.863,3752319.993,#0C00FF
Panama,-8819569.032,909766.458,#1200FF
Papua New Guinea,16168473.24,-723888.214,#1800FF
Paraguay,-6497646.721,-2666529.815,#1E00FF
Peru,-8277890.117,-1179989.749,#2400FF
Philippines,13706679.56,1341706.234,#2A00FF
Pitcairn,-14315071.24,-2811676.956,#3000FF
Poland,2158092.046,6834067.595,#3600FF
Portugal,-1002021.282,4901331.001,#3C00FF
Puerto Rico,-7398555.702,2063493.509,#4200FF
Qatar,5717599.491,4046313.672,#4800FF
R�union,6182486.901,-2406411.521,#4E00FF
Romania,2715362.487,5923861.367,#5400FF
Russia,10882482.58,9565058.199,#5B00FF
Rwanda,3330412.465,-222464.4709,#6100FF
"Bonaire, Sint Eustatius and Saba",-7209330.391,1692410.948,#6700FF
Saint Barth�lemy,-6994114.702,2026159.158,#6D00FF
"Bonaire, Sint Eustatius and Saba",-7209330.391,1692410.948,#7300FF
"Saint Helena, Ascension and Tristan da Cunha",-636430.641,-1800270.696,#7900FF
Saint Kitts and Nevis,-7324693.787,3383696.124,#7F00FF
Saint Lucia,-6435370.485,1001317.504,#8500FF
Saint Martin,-7041912.023,2610263.207,#8B00FF
Saint Pierre and Miquelon,-6267973.872,5930867.193,#9100FF
Saint Vincent and the Grenadines,-6831719.157,1335211.71,#9700FF
Samoa,-19250049.31,-1675404.906,#9D00FF
San Marino,1387149.996,5456618.894,#A300FF
Sao Tome and Principe,607332.74,-152219.522,#AA00FF
Saudi Arabia,4899397.013,3124977.859,#B000FF
Senegal,-1556888.439,1924281.977,#B600FF
Serbia,2315160.068,5474549.178,#BC00FF
Seychelles,5846469.495,-756249.495,#C200FF
Sierra Leone,-1413040.072,750830.441,#C800FF
Singapore,11346137.4,-284983.852,#CE00FF
Sint Maarten,-7599428.639,1403950.51,#D400FF
Slovakia,2170378.083,6226213.169,#DA00FF
